Number of frames: 2500
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z
81,67.981712341,259.255462646,-2898.570556641,63.264488220,257.138702393,-2879.096679688,68.778640747,257.466796875,-2889.988525391,69.738594055,259.963012695,-2927.303466797,63.984809875,259.477966309,-2943.951660156,68.692657471,260.647766113,-2935.750488281,
82,68.095184326,258.940612793,-2899.177246094,63.457756042,256.381195068,-2879.741943359,68.941757202,256.959625244,-2890.641845703,69.692085266,260.295837402,-2927.902343750,63.862640381,260.156066895,-2944.524414063,68.605705261,261.152038574,-2936.317626953,
83,68.211692810,258.589111328,-2899.811767578,63.672073364,255.570693970,-2880.431884766,69.115585327,256.419555664,-2891.330322266,69.639404297,260.622741699,-2928.510253906,63.711559296,260.870880127,-2945.094726563,68.466445923,261.679046631,-2936.898925781,
84,68.331527710,258.225372314,-2900.535156250,63.939632416,254.713623047,-2881.217529297,69.286415100,255.833648682,-2892.120361328,69.541931152,260.965087891,-2929.191894531,63.524757385,261.610992432,-2945.715087891,68.343948364,262.232086182,-2937.533203125,
85,68.489624023,257.846038818,-2901.379150391,64.239509583,253.829467773,-2882.142089844,69.497894287,255.239562988,-2893.045898438,69.404930115,261.343200684,-2929.971679688,63.266979218,262.413085938,-2946.409667969,68.155776978,262.824279785,-2938.258789063,
86,68.653755188,257.467864990,-2902.306884766,64.587951660,252.931015015,-2883.156005859,69.726333618,254.628372192,-2894.065917969,69.260513306,261.734313965,-2930.808837891,62.970481873,263.280242920,-2947.147460938,67.964706421,263.437622070,-2939.015869141,
87,68.797286987,257.117889404,-2903.298095703,64.952644348,252.040374756,-2884.242919922,69.960098267,254.020294189,-2895.149169922,69.110076904,262.129669189,-2931.685302734,62.667846680,264.145019531,-2947.898925781,67.772285461,264.057769775,-2939.809570313,
88,68.951255798,256.775726318,-2904.382080078,65.267211914,251.214920044,-2885.445556641,70.173263550,253.445648193,-2896.333984375,68.999511719,262.493530273,-2932.642333984,62.422611237,264.952758789,-2948.735839844,67.601249695,264.640594482,-2940.699462891,
89,69.231834412,256.444427490,-2905.699218750,65.785415649,250.478271484,-2886.849609375,70.536239624,252.925598145,-2897.739257813,68.970764160,262.799163818,-2933.824951172,62.227191925,265.658477783,-2949.771972656,67.492660522,265.171356201,-2941.815185547,
90,69.671730042,256.123168945,-2907.272705078,66.539390564,249.748519897,-2888.493164063,71.111114502,252.403717041,-2899.403564453,68.988006592,263.094665527,-2935.228271484,61.957244873,266.378540039,-2950.993164063,67.353820801,265.693145752,-2943.138671875,
91,70.114814758,255.787048340,-2908.874755859,67.317710876,249.015151978,-2890.190429688,71.702758789,251.694549561,-2901.012207031,68.961608887,263.411834717,-2936.641601563,61.618350983,267.122528076,-2952.185791016,67.142776489,266.184417725,-2944.454345703,
92,70.372337341,255.463806152,-2910.257324219,67.804351807,248.269042969,-2891.700439453,72.043769836,251.138977051,-2902.507568359,68.882141113,263.763122559,-2937.828857422,61.363685608,267.890747070,-2953.169921875,66.998481750,266.703338623,-2945.542480469,
93,70.454818726,255.282699585,-2911.467285156,67.885360718,247.831573486,-2893.027832031,72.036354065,250.825637817,-2903.815917969,68.899017334,264.036071777,-2938.909423828,61.336051941,268.481231689,-2954.125488281,66.967987061,267.103973389,-2946.550537109,
94,70.491584778,254.991622925,-2912.631835938,67.951393127,247.302124023,-2894.295410156,72.115539551,250.395919800,-2905.043212891,,,,61.204879761,269.024383545,-2955.002197266,66.872169495,267.466064453,-2947.495361328,
95,70.405036926,254.752166748,-2913.645751953,67.961822510,246.757217407,-2895.405517578,72.011848450,250.000747681,-2906.145263672,,,,60.838703156,269.578857422,-2955.651611328,66.540946960,267.848083496,-2948.241943359,
96,70.059898376,254.556549072,-2914.461669922,67.575523376,246.453826904,-2896.283447266,71.663200378,249.713943481,-2907.010009766,,,,60.564949036,269.844360352,-2956.306640625,66.308174133,267.974792480,-2948.930908203,
97,69.665092468,254.263656616,-2915.196289063,66.996192932,246.111953735,-2897.089599609,71.196632385,249.346710205,-2907.787109375,67.938110352,264.429504395,-2942.170654297,60.352722168,270.020385742,-2956.935302734,66.060234070,267.994781494,-2949.596191406,
98,69.208694458,254.055023193,-2915.952880859,66.420204163,245.845993042,-2897.897216797,70.687835693,249.069946289,-2908.581542969,67.477188110,264.385955811,-2942.864257813,59.932788849,270.197357178,-2957.564208984,65.644157410,268.027587891,-2950.259033203,
99,68.743103027,253.873428345,-2916.760253906,65.992294312,245.648651123,-2898.709716797,70.196495056,248.836624146,-2909.414794922,66.947196960,264.345672607,-2943.608398438,59.387481689,270.323913574,-2958.225097656,65.128372192,268.041198730,-2950.967041016,
100,68.177787781,253.745574951,-2917.583496094,65.460853577,245.535736084,-2899.520996094,69.616905212,248.686996460,-2910.259277344,66.380355835,264.257080078,-2944.400634766,58.773712158,270.363525391,-2958.970214844,64.547317505,267.989654541,-2951.741455078,
101,67.571594238,253.588409424,-2918.331542969,64.891029358,245.424835205,-2900.249511719,69.000984192,248.513931274,-2911.021728516,65.762611389,264.144592285,-2945.127685547,58.117858887,270.367248535,-2959.643554688,63.894947052,267.902404785,-2952.466064453,
102,66.906150818,253.457260132,-2918.933837891,64.196556091,245.406326294,-2900.802001953,68.249420166,248.380996704,-2911.621093750,65.122032166,263.987548828,-2945.728271484,57.474464417,270.322357178,-2960.202880859,63.260192871,267.760375977,-2953.056396484,
103,66.122711182,253.333526611,-2919.346435547,63.322269440,245.439483643,-2901.165039063,67.419830322,248.262680054,-2912.015380859,64.470909119,263.790679932,-2946.192382813,56.896919250,270.213012695,-2960.655029297,62.660034180,267.552276611,-2953.520507813,
104,65.298675537,253.212127686,-2919.601074219,62.357749939,245.493484497,-2901.364746094,66.501861572,248.148010254,-2912.249023438,63.783027649,263.581268311,-2946.498046875,56.313114166,270.108917236,-2960.958740234,62.041084290,267.340576172,-2953.838134766,
105,64.445495605,253.090469360,-2919.693115234,61.381275177,245.549102783,-2901.403076172,65.498291016,248.034332275,-2912.335937500,63.064823151,263.384094238,-2946.637451172,55.720252991,270.044647217,-2961.087890625,61.396644592,267.151062012,-2953.988037109,
106,63.574081421,252.972244263,-2919.684082031,60.304401398,245.625610352,-2901.356201172,64.502174377,247.924728394,-2912.310791016,62.372055054,263.170684814,-2946.689453125,55.208721161,269.976257324,-2961.140625000,60.818363190,266.945648193,-2954.047119141,
107,62.718742371,252.830673218,-2919.690673828,59.275718689,245.674057007,-2901.309570313,63.547931671,247.792419434,-2912.291259766,61.705890656,262.924865723,-2946.747314453,54.741641998,269.890625000,-2961.204345703,60.286548615,266.718170166,-2954.114501953,
